game_id,created_by,home_team_id,away_team_id,home_score,away_score
134,,1,14,2,1
145,,1,14,6,1
146,,1,14,4,1
147,,1,14,3,8
148,,1,14,8,3
159,,1,14,1,0
160,,1,14,2,1
161,,1,14,2,4
166,,2,14,2,8
167,,2,14,6,9
168,,2,14,5,1
205,,2,14,3,4
206,,2,14,5,2
207,,2,14,7,9
221,,2,14,3,2
222,,2,14,2,6
223,,2,14,4,5
273,,3,14,1,7
274,,3,14,5,1
275,,3,14,5,7
332,,4,14,4,5
333,,4,14,2,5
334,,4,14,1,0
335,,4,14,1,2
435,,5,14,4,9
436,,5,14,4,5
437,,5,14,1,11
490,,6,14,3,8
491,,6,14,9,3
492,,6,14,5,4
594,,7,14,2,1
595,,7,14,2,9
596,,7,14,7,5
701,,8,14,10,11
702,,8,14,12,2
703,,8,14,5,4
704,,8,14,2,1
733,,9,14,9,1
734,,9,14,1,3
735,,9,14,3,0
736,,9,14,6,5
746,,9,14,7,1
747,,9,14,4,0
789,,9,14,6,0
790,,9,14,3,0
791,,9,14,0,8
792,,9,14,2,3
847,,10,14,7,4
848,,10,14,3,8
849,,10,14,2,4
931,,11,14,4,1
932,,11,14,2,10
933,,11,14,3,1
934,,11,14,2,3
988,,12,14,3,5
989,,12,14,2,6
990,,12,14,4,3
1024,,12,14,4,8
1025,,12,14,7,4
1049,,12,14,1,4
1050,,12,14,3,5
1051,,12,14,4,9
1052,,12,14,1,0
1119,,13,14,8,3
1120,,13,14,4,8
1121,,13,14,0,2
1813,,22,14,2,1
1814,,22,14,5,3
1815,,22,14,4,0
2019,,24,14,3,2
2020,,24,14,8,2
2087,,25,14,7,6
2088,,25,14,7,5
2089,,25,14,3,4
2286,,28,14,1,4
2287,,28,14,13,12
28,,0,2,2,5
29,,0,2,1,0
30,,0,2,3,4
31,,0,2,4,2
87,,1,2,2,5
88,,1,2,9,3
89,,1,2,4,3
136,,1,2,8,1
137,,1,2,3,9
138,,1,2,1,8
149,,1,2,5,1
150,,1,2,5,6
151,,1,2,6,5
262,,3,2,7,3
263,,3,2,1,3
264,,3,2,0,1
350,,4,2,4,0
351,,4,2,7,1
352,,4,2,7,10
408,,5,2,7,3
409,,5,2,3,2
410,,5,2,1,6
535,,6,2,0,3
536,,6,2,3,1
537,,6,2,3,4
620,,7,2,7,3
621,,7,2,1,10
622,,7,2,1,6
623,,7,2,5,4
715,,8,2,4,5
716,,8,2,6,3
717,,8,2,0,10
730,,9,2,8,3
731,,9,2,2,8
732,,9,2,4,0
776,,9,2,6,3
777,,9,2,3,4
778,,9,2,3,9
804,,9,2,4,7
805,,9,2,5,4
806,,9,2,2,5
807,,9,2,5,6
838,,10,2,0,1
839,,10,2,1,4
840,,10,2,4,0
913,,11,2,5,12
914,,11,2,3,4
915,,11,2,2,0
979,,12,2,0,7
980,,12,2,0,2
981,,12,2,2,4
1014,,12,2,11,12
1015,,12,2,0,3
1016,,12,2,5,4
1017,,12,2,7,6
1040,,12,2,3,2
1041,,12,2,6,4
1042,,12,2,8,7
1069,,13,2,5,3
1070,,13,2,3,5
1071,,13,2,2,6
1140,,14,2,4,1
1141,,14,2,6,5
1142,,14,2,1,9
1143,,14,2,3,9
1169,,14,2,2,1
1170,,14,2,2,6
1171,,14,2,5,11
1212,,14,2,2,8
1213,,14,2,11,4
1214,,14,2,9,7
1312,,16,2,4,3
1313,,16,2,3,7
1418,,17,2,3,1
1419,,17,2,1,3
1420,,17,2,3,4
1530,,18,2,4,1
1531,,18,2,1,3
2078,,25,2,4,8
2079,,25,2,4,6
2080,,25,2,10,3
32,,0,23,5,3
33,,0,23,4,3
34,,0,23,5,10
516,,6,23,3,0
517,,6,23,7,1
793,,9,23,3,2
794,,9,23,12,3
885,,10,23,8,0
886,,10,23,7,6
887,,10,23,5,3
1221,,15,23,1,2
1222,,15,23,2,3
1223,,15,23,0,16
1344,,16,23,5,3
1345,,16,23,8,5
1346,,16,23,7,3
1355,,16,23,8,1
1356,,16,23,1,2
1357,,16,23,3,4
1358,,16,23,2,0
1374,,16,23,0,4
1375,,16,23,1,3
1376,,16,23,9,5
1423,,17,23,7,4
1424,,17,23,10,9
1425,,17,23,8,5
1426,,17,23,3,4
1496,,18,23,3,7
1497,,18,23,11,1
1498,,18,23,11,5
1561,,19,23,0,3
1562,,19,23,5,9
1563,,19,23,1,3
1643,,20,23,4,1
1644,,20,23,7,4
1645,,20,23,6,5
1646,,20,23,7,9
1733,,21,23,3,7
1734,,21,23,5,0
1735,,21,23,4,11
1746,,21,23,1,3
1747,,21,23,1,5
1748,,21,23,2,4
1765,,21,23,5,3
1766,,21,23,8,2
1767,,21,23,1,3
1851,,22,23,3,5
1852,,22,23,2,3
1853,,22,23,6,1
1947,,24,23,3,5
1948,,24,23,5,6
1949,,24,23,3,5
1959,,24,23,2,1
1960,,24,23,8,1
1961,,24,23,3,2
2002,,24,23,2,3
2003,,24,23,1,2
2004,,24,23,4,6
2005,,24,23,4,7
2090,,25,23,2,11
2091,,25,23,0,1
2092,,25,23,12,4
2129,,26,23,4,1
2130,,26,23,4,1
2131,,26,23,2,6
2208,,27,23,2,5
2209,,27,23,1,2
2210,,27,23,5,7
2272,,28,23,5,6
2273,,28,23,8,4
2274,,28,23,7,5
2349,,29,23,1,2
2350,,29,23,2,1
2351,,29,23,9,0
2352,,29,23,4,2
2363,,29,23,3,2
2364,,29,23,2,1
2365,,29,23,8,0
2403,,29,23,7,8
2404,,29,23,6,2
2405,,29,23,6,0
35,,0,7,3,6
36,,0,7,4,5
37,,0,7,9,4
94,,1,7,2,4
95,,1,7,3,0
96,,1,7,3,6
233,,2,7,10,2
234,,2,7,2,0
235,,2,7,5,4
249,,3,7,8,2
250,,3,7,0,3
251,,3,7,2,5
294,,3,7,2,6
295,,3,7,1,3
296,,3,7,1,5
307,,3,7,7,6
308,,3,7,9,3
309,,3,7,0,2
340,,4,7,1,3
341,,4,7,2,10
342,,4,7,3,1
399,,4,7,1,3
400,,4,7,3,8
401,,4,7,8,2
402,,4,7,3,2
403,,4,7,1,0
404,,4,7,2,8
445,,5,7,1,4
446,,5,7,0,5
447,,5,7,6,5
472,,5,7,4,3
473,,5,7,6,11
474,,5,7,10,14
481,,5,7,4,10
482,,5,7,4,2
483,,5,7,12,8
522,,6,7,1,0
523,,6,7,2,6
524,,6,7,6,3
525,,6,7,3,5
673,,8,7,10,7
674,,8,7,5,8
675,,8,7,6,1
676,,8,7,0,2
705,,8,7,7,3
706,,8,7,6,5
707,,8,7,1,2
721,,8,7,9,5
722,,8,7,8,7
723,,8,7,8,7
779,,9,7,6,1
780,,9,7,4,7
781,,9,7,8,10
782,,9,7,2,6
841,,10,7,3,6
842,,10,7,8,4
843,,10,7,8,1
897,,11,7,9,4
898,,11,7,7,10
899,,11,7,0,6
1029,,12,7,5,0
1030,,12,7,7,0
1031,,12,7,6,2
1032,,12,7,5,9
1066,,13,7,5,4
1067,,13,7,2,4
1068,,13,7,9,2
1179,,14,7,4,13
1180,,14,7,4,7
1181,,14,7,2,0
1182,,14,7,4,7
1236,,15,7,5,3
1237,,15,7,2,1
1555,,19,7,1,3
1556,,19,7,2,8
1557,,19,7,1,3
2217,,27,7,4,1
2218,,27,7,0,5
2219,,27,7,2,5
2271,,28,7,2,7
2279,,28,7,2,1
38,,0,11,1,4
39,,0,11,3,2
40,,0,11,4,9
59,,0,11,4,6
60,,0,11,1,2
61,,0,11,16,4
71,,0,11,2,7
72,,0,11,4,0
73,,0,11,9,8
74,,0,11,1,4
104,,1,11,2,5
105,,1,11,2,1
106,,1,11,4,8
178,,2,11,0,6
179,,2,11,2,0
180,,2,11,0,1
181,,2,11,4,2
243,,3,11,6,2
244,,3,11,5,3
245,,3,11,3,1
384,,4,11,2,3
385,,4,11,3,0
386,,4,11,2,4
469,,5,11,3,5
470,,5,11,0,5
471,,5,11,3,1
493,,6,11,3,1
494,,6,11,4,0
495,,6,11,13,6
507,,6,11,3,7
508,,6,11,7,8
509,,6,11,1,0
531,,6,11,7,10
532,,6,11,7,6
533,,6,11,12,3
534,,6,11,5,1
646,,7,11,1,0
647,,7,11,2,7
648,,7,11,3,1
649,,8,11,2,1
650,,8,11,2,4
651,,8,11,2,0
652,,8,11,2,4
783,,9,11,4,9
784,,9,11,5,4
785,,9,11,0,4
844,,10,11,11,3
845,,10,11,3,1
846,,10,11,4,5
866,,10,11,4,7
867,,10,11,8,1
868,,10,11,9,4
882,,10,11,1,5
883,,10,11,4,6
884,,10,11,6,5
982,,12,11,0,3
983,,12,11,0,4
984,,12,11,7,1
1079,,13,11,3,5
1080,,13,11,3,2
1081,,13,11,10,3
1096,,13,11,4,3
1097,,13,11,1,11
1098,,13,11,4,10
1099,,13,11,9,5
1107,,13,11,4,3
1108,,13,11,5,3
1109,,13,11,3,1
1150,,14,11,1,3
1151,,14,11,8,1
1152,,14,11,3,2
1708,,21,11,6,0
1709,,21,11,8,7
1710,,21,11,6,3
1877,,23,11,5,13
1878,,23,11,9,0
1879,,23,11,2,3
2143,,26,11,2,3
2144,,26,11,2,8
2394,,29,11,5,4
2395,,29,11,3,4
41,,0,3,4,2
42,,0,3,1,4
43,,0,3,1,10
139,,1,3,7,2
